순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
358,KOSPI,306200,세아제강,146800.0,203400.0,38.56%
359,KOSDAQ,095340,ISC,209500.0,290000.0,38.42%
360,KOSPI,042660,한화오션,123400.0,170316.0,38.02%
361,KOSPI,001250,GS글로벌,3120.0,4300.0,37.82%
362,KOSDAQ,389500,에스비비테크,62400.0,86000.0,37.82%
363,KOSPI,001940,KISCO홀딩스,23950.0,33000.0,37.79%
364,KOSPI,035250,강원랜드,16000.0,22000.0,37.50%
365,KOSPI,030190,NICE평가정보,14570.0,20000.0,37.27%
366,KOSPI,003670,포스코퓨처엠,210500.0,288750.0,37.17%
367,KOSPI,373220,LG에너지솔루션,420500.0,576565.0,37.11%
368,KOSPI,071050,한국금융지주,251500.0,344625.0,37.03%
369,KOSPI,175330,JB금융지주,27550.0,37688.0,36.80%
370,KOSPI,298050,HS효성첨단소재,206000.0,281667.0,36.73%
371,KOSPI,005440,현대지에프홀딩스,13900.0,19000.0,36.69%
372,KOSPI,015760,한국전력,41400.0,56467.0,36.39%
373,KOSPI,030200,KT,55400.0,75500.0,36.28%
374,KOSPI,300720,한일시멘트,14700.0,20000.0,36.05%
375,KOSDAQ,053450,세코닉스,4410.0,6000.0,36.05%
376,KOSDAQ,091700,파트론,6620.0,9000.0,35.95%
377,KOSPI,316140,우리금융지주,32550.0,44200.0,35.79%
378,KOSDAQ,237880,클리오,10680.0,14500.0,35.77%
379,KOSPI,000270,기아,167500.0,227400.0,35.76%
380,KOSPI,005180,빙그레,70000.0,95000.0,35.71%
381,KOSDAQ,036540,SFA반도체,7370.0,10000.0,35.69%
382,KOSPI,138930,BNK금융지주,18020.0,24412.0,35.47%
383,KOSDAQ,247540,에코프로비엠,186500.0,252611.0,35.45%
384,KOSPI,104700,한국철강,8880.0,12000.0,35.14%
385,KOSPI,361610,SK아이이테크놀로지,19180.0,25900.0,35.04%
386,KOSPI,079550,LIG디펜스앤에어로스페이스,845000.0,1140000.0,34.91%
387,KOSPI,114090,GKL,12350.0,16636.0,34.70%
